race,income,sex,schoolYears,age,spend
white,19958.0,male,15.0,33.0,671.17
black,93677.0,male,15.0,35.0,777.26
asian,240632.0,female,19.0,50.0,912.02
hispanic,36354.0,male,10.0,33.0,829.86
white,97419.0,female,18.0,51.0,821.72
white,37584.0,male,14.0,33.0,690.87
black,27237.0,male,13.0,37.0,820.57
white,122816.0,male,17.0,29.0,575.32
white,50240.0,male,17.0,32.0,698.41
black,37928.0,male,12.0,34.0,745.11
white,42261.0,female,16.0,55.0,815.5
other,30510.0,female,14.0,58.0,870.88
hispanic,102995.0,male,16.0,34.0,901.81
white,54344.0,male,17.0,30.0,617.71
black,69986.0,female,15.0,51.0,602.12
other,88562.0,male,16.0,37.0,854.46
white,24779.0,female,16.0,55.0,817.18
black,62391.0,male,14.0,31.0,638.54
hispanic,81696.0,male,16.0,33.0,830.81
white,11040.0,male,15.0,30.0,621.08
white,21288.0,male,15.0,35.0,766.4
other,69096.0,female,15.0,43.0,664.93
white,49453.0,female,16.0,46.0,735.61
other,51583.0,female,15.0,49.0,789.75
white,52388.0,male,15.0,31.0,646.15
black,25762.0,male,14.0,34.0,715.55
white,36304.0,female,14.0,48.0,729.82
white,21430.0,female,15.0,52.0,787.98
black,91620.0,male,15.0,34.0,739.77
hispanic,101857.0,male,15.0,41.0,1105.03
white,23009.0,male,15.0,31.0,641.44
white,182869.0,female,18.0,54.0,852.9
hispanic,100654.0,female,17.0,50.0,774.06
white,135236.0,female,17.0,51.0,812.74
white,286614.0,female,18.0,42.0,701.25
white,335149.0,male,17.0,31.0,645.84
other,42520.0,male,12.0,38.0,861.55
white,59704.0,female,17.0,44.0,699.36
white,128564.0,female,18.0,47.0,749.9
black,119776.0,female,17.0,56.0,643.02
white,53814.0,male,14.0,37.0,819.56
other,43913.0,female,15.0,49.0,754.66
white,90653.0,other,18.0,24.0,511.4
white,90674.0,female,18.0,50.0,796.35
white,25228.0,male,15.0,35.0,749.84
black,46748.0,female,12.0,58.0,646.06
white,81053.0,female,18.0,52.0,781.3
white,48588.0,female,16.0,48.0,735.83
black,8593.0,female,13.0,50.0,542.3
hispanic,105124.0,male,18.0,27.0,705.54
white,289386.0,female,19.0,52.0,815.28
white,15761.0,male,14.0,29.0,565.8
black,579809.0,female,13.0,51.0,589.98
white,61744.0,female,15.0,49.0,743.48
white,41505.0,female,16.0,52.0,774.63
white,51743.0,female,14.0,45.0,703.3
asian,33061.0,male,16.0,33.0,712.1
white,42107.0,male,16.0,33.0,706.38
white,6797.0,male,14.0,41.0,926.15
black,37449.0,male,12.0,35.0,735.81
white,16527.0,female,14.0,45.0,696.33
white,69621.0,male,15.0,33.0,709.71
white,56710.0,female,16.0,41.0,659.53
hispanic,85332.0,female,16.0,55.0,840.85
black,132282.0,male,17.0,38.0,885.68
white,22482.0,female,14.0,46.0,701.5
black,32549.0,female,12.0,48.0,537.06
hispanic,29953.0,female,12.0,51.0,765.96
black,85630.0,male,15.0,32.0,666.9
white,126131.0,male,19.0,38.0,868.65
white,366949.0,female,18.0,51.0,810.04
white,187327.0,male,19.0,31.0,670.71
other,6690.0,male,11.0,34.0,710.96
white,114637.0,male,17.0,34.0,748.75
white,7191.0,male,14.0,38.0,812.51
white,82528.0,female,16.0,56.0,836.48
other,75602.0,male,12.0,37.0,820.79
hispanic,105207.0,female,17.0,52.0,807.04
hispanic,451323.0,female,18.0,47.0,767.22
white,24339.0,female,15.0,56.0,820.79
other,406125.0,male,17.0,40.0,956.9
white,5044.0,male,14.0,32.0,621.91
white,27920.0,female,14.0,56.0,820.69
white,8032.0,other,13.0,27.0,480.18
black,134156.0,male,15.0,39.0,894.38
white,28924.0,female,13.0,48.0,732.78
white,64693.0,female,14.0,46.0,715.66
white,4930.0,female,13.0,45.0,660.75
white,94526.0,male,18.0,41.0,1018.41
black,119122.0,female,17.0,49.0,543.93
hispanic,39641.0,female,13.0,46.0,690.86
black,18270.0,female,13.0,44.0,477.58
black,84015.0,male,15.0,33.0,696.17
hispanic,33726.0,female,11.0,50.0,748.51
asian,422752.0,male,21.0,39.0,934.59
white,46847.0,female,16.0,53.0,817.2
other,324225.0,female,16.0,51.0,830.12
other,63354.0,male,13.0,32.0,662.56
white,52675.0,female,16.0,45.0,692.76
white,51982.0,male,17.0,36.0,776.45
hispanic,96552.0,male,17.0,34.0,872.03
white,22084.0,female,15.0,54.0,821.73
white,140570.0,male,18.0,28.0,579.37
hispanic,311384.0,female,16.0,52.0,823.63
white,59516.0,female,17.0,50.0,782.39
white,30555.0,female,14.0,50.0,759.89
asian,126030.0,female,20.0,49.0,918.12
black,84010.0,female,16.0,47.0,530.95
other,8371.0,male,10.0,30.0,583.8
other,86088.0,female,17.0,58.0,875.66
hispanic,155324.0,male,17.0,31.0,811.06
white,12006.0,female,14.0,52.0,773.51
white,21233.0,male,14.0,31.0,606.81
other,12156.0,female,11.0,44.0,668.9
hispanic,36787.0,male,12.0,33.0,820.83
black,38421.0,male,11.0,38.0,850.19
asian,7032.0,female,17.0,50.0,878.03
asian,47938.0,female,16.0,42.0,806.01
white,132105.0,male,16.0,32.0,702.38
hispanic,12190.0,female,10.0,45.0,684.98
white,21346.0,female,12.0,54.0,796.87
asian,185862.0,male,20.0,28.0,606.8
white,24668.0,male,14.0,31.0,634.34
other,478667.0,male,15.0,37.0,852.05
hispanic,12400.0,female,13.0,46.0,720.36
white,450068.0,female,17.0,56.0,869.15
white,278173.0,female,17.0,52.0,812.15
black,31794.0,male,11.0,39.0,869.44
white,9389.0,female,13.0,51.0,743.93
white,66953.0,male,14.0,37.0,826.14
white,19779.0,female,15.0,46.0,693.67
hispanic,39283.0,female,13.0,52.0,802.8
other,83020.0,male,15.0,33.0,712.94
white,96384.0,male,17.0,32.0,678.67
white,5313.0,male,14.0,30.0,570.39
white,70669.0,female,16.0,43.0,703.53
white,15963.0,female,14.0,47.0,706.56
white,173465.0,male,17.0,31.0,670.91
other,411757.0,female,17.0,50.0,804.34
other,65511.0,female,16.0,54.0,817.42
other,154401.0,male,15.0,32.0,694.59
hispanic,30977.0,female,13.0,54.0,791.54
black,79013.0,female,14.0,51.0,573.71
white,24500.0,female,15.0,53.0,768.32
black,30240.0,male,12.0,43.0,1021.12
white,14337.0,female,14.0,48.0,727.46
hispanic,319976.0,female,17.0,52.0,840.41
other,39375.0,male,12.0,44.0,1072.16
white,14026.0,male,12.0,37.0,804.66
white,209421.0,male,18.0,33.0,721.29
white,34779.0,male,15.0,39.0,891.14
white,24457.0,male,16.0,31.0,643.15
white,18065.0,male,14.0,33.0,701.77
white,19236.0,female,14.0,35.0,602.06
black,39316.0,female,11.0,49.0,533.81
white,66254.0,male,15.0,32.0,676.31
black,41232.0,female,12.0,52.0,579.31
hispanic,100739.0,female,16.0,47.0,767.14
asian,69792.0,female,17.0,52.0,931.53
black,22779.0,female,13.0,49.0,536.75
hispanic,13852.0,male,12.0,32.0,810.57
white,30341.0,male,14.0,35.0,739.15
hispanic,51779.0,male,13.0,30.0,780.76
white,131631.0,female,18.0,52.0,808.98
white,19220.0,female,13.0,50.0,754.88
other,20646.0,female,10.0,46.0,696.03
white,14657.0,female,16.0,47.0,765.52
black,38292.0,male,14.0,41.0,952.6
hispanic,91717.0,male,17.0,38.0,1027.23
white,75611.0,male,17.0,28.0,568.98
black,45202.0,female,14.0,49.0,512.48
white,114243.0,female,18.0,49.0,755.19
other,73660.0,female,16.0,47.0,714.63
white,22328.0,male,16.0,29.0,570.87
white,19578.0,female,15.0,47.0,744.71
white,36465.0,female,15.0,50.0,773.82
black,92948.0,male,16.0,36.0,784.03
white,23782.0,female,14.0,54.0,794.99
black,32142.0,male,11.0,38.0,850.13
white,39816.0,female,12.0,48.0,718.29
white,118429.0,female,19.0,50.0,789.6
other,124473.0,female,15.0,52.0,808.63
white,31137.0,female,15.0,53.0,803.72
white,112359.0,male,19.0,37.0,840.41
white,13056.0,female,14.0,50.0,746.02
white,37845.0,male,14.0,34.0,727.11
white,6767.0,male,12.0,37.0,796.62
white,27352.0,male,15.0,30.0,627.63
black,15845.0,male,11.0,34.0,697.26
white,77474.0,male,16.0,33.0,701.07
white,58288.0,male,18.0,35.0,790.37
other,42074.0,female,13.0,45.0,723.45
white,21976.0,male,14.0,33.0,670.65
hispanic,15505.0,male,13.0,32.0,785.62
other,97377.0,male,15.0,31.0,654.45
hispanic,15457.0,male,12.0,32.0,780.29
white,12318.0,female,14.0,43.0,660.92
white,89872.0,female,19.0,56.0,863.4
other,86994.0,male,18.0,36.0,796.45
other,9887.0,female,12.0,54.0,780.3
other,91690.0,female,14.0,44.0,708.38
other,43399.0,female,13.0,48.0,744.56
white,269774.0,female,16.0,50.0,787.43
white,65415.0,female,17.0,46.0,719.22
white,19963.0,female,13.0,49.0,751.54
black,27475.0,female,12.0,47.0,524.48
white,67846.0,male,15.0,35.0,767.75
white,481166.0,male,18.0,39.0,943.14
black,52622.0,female,13.0,53.0,605.4
white,176144.0,female,19.0,50.0,801.72
white,81086.0,female,18.0,50.0,774.63
white,22629.0,female,15.0,53.0,788.08
white,91550.0,female,17.0,54.0,855.3
white,131861.0,male,17.0,27.0,538.4
white,38479.0,female,13.0,55.0,814.29
hispanic,16308.0,male,13.0,37.0,949.23
asian,29282.0,female,16.0,55.0,919.51
hispanic,55578.0,male,12.0,36.0,925.87
white,18001.0,male,14.0,36.0,748.51
hispanic,55664.0,female,14.0,55.0,821.14
white,183824.0,female,19.0,53.0,831.33
hispanic,52397.0,female,15.0,53.0,806.75
white,111873.0,male,19.0,32.0,683.2
white,69936.0,female,15.0,56.0,825.8
white,128142.0,female,19.0,53.0,838.5
other,83544.0,male,15.0,26.0,541.62
other,72584.0,female,14.0,53.0,818.94
white,256231.0,male,19.0,37.0,857.77
asian,25228.0,male,16.0,33.0,711.3
black,21701.0,female,13.0,46.0,494.28
white,170598.0,male,17.0,42.0,1019.81
asian,41265.0,male,16.0,36.0,816.39
hispanic,4848.0,male,12.0,35.0,854.04
white,92372.0,male,19.0,35.0,787.83
asian,40250.0,male,18.0,30.0,626.28
white,17849.0,female,14.0,44.0,681.73
white,137227.0,male,18.0,36.0,813.91
hispanic,159465.0,male,18.0,44.0,1270.07
white,121285.0,female,17.0,54.0,829.95
asian,152915.0,female,20.0,46.0,890.26
other,7737.0,female,11.0,48.0,697.48
white,10502.0,male,13.0,38.0,818.68
hispanic,30135.0,male,13.0,31.0,791.04
asian,18808.0,female,16.0,58.0,942.78
asian,42058.0,male,16.0,25.0,487.42
white,21798.0,female,14.0,55.0,813.23
hispanic,42339.0,female,15.0,47.0,723.26
other,41515.0,male,12.0,29.0,577.77
white,50156.0,male,17.0,35.0,799.82
hispanic,34648.0,male,11.0,30.0,731.0
hispanic,23517.0,female,11.0,49.0,739.94
white,17218.0,male,13.0,39.0,864.26
white,161505.0,male,18.0,33.0,691.04
other,23257.0,female,12.0,53.0,764.73
white,30648.0,female,13.0,54.0,784.82
black,164843.0,female,15.0,53.0,602.1
white,57459.0,male,16.0,37.0,804.52
white,42914.0,male,17.0,30.0,614.9
black,99088.0,female,15.0,53.0,581.04
other,50376.0,female,15.0,48.0,751.33
white,21579.0,female,14.0,49.0,738.85
white,78258.0,male,15.0,33.0,680.34
white,462191.0,female,16.0,51.0,792.77
white,39531.0,male,14.0,28.0,556.1
white,169781.0,male,17.0,36.0,815.41
white,149262.0,male,16.0,32.0,719.46
black,92665.0,male,16.0,37.0,823.08
white,122011.0,male,17.0,30.0,612.65
white,34880.0,male,14.0,35.0,735.83
white,110377.0,male,18.0,33.0,710.28
white,144867.0,female,17.0,53.0,809.99
asian,33482.0,female,16.0,52.0,894.73
white,154212.0,male,18.0,31.0,663.76
white,95382.0,male,18.0,28.0,569.37
white,51191.0,female,16.0,50.0,776.2
white,8471.0,male,12.0,31.0,622.42
black,184873.0,male,16.0,35.0,758.17
other,21220.0,female,13.0,52.0,801.9
white,221622.0,male,17.0,40.0,929.01
white,195738.0,female,18.0,47.0,771.47
white,34510.0,male,15.0,31.0,644.9
other,88723.0,male,14.0,38.0,870.97
other,15651.0,female,11.0,49.0,723.18
other,56945.0,female,13.0,50.0,762.62
white,51258.0,male,17.0,33.0,707.67
black,135671.0,female,15.0,51.0,588.0
white,32045.0,male,14.0,26.0,502.19
white,97755.0,male,17.0,34.0,729.22
hispanic,349690.0,male,16.0,39.0,1075.66
white,98620.0,female,20.0,51.0,801.6
asian,53831.0,male,16.0,35.0,752.48
black,26284.0,male,13.0,30.0,603.5
white,152513.0,female,19.0,58.0,885.67
white,151347.0,male,17.0,38.0,893.56
hispanic,72487.0,female,14.0,50.0,783.28
black,33040.0,male,12.0,30.0,580.92
white,37356.0,female,15.0,46.0,752.55
white,13411.0,male,14.0,37.0,804.95
white,20097.0,male,15.0,26.0,495.47
white,4520.0,female,15.0,48.0,720.67
white,33473.0,female,14.0,52.0,784.59
white,31511.0,male,15.0,34.0,696.17
white,95734.0,male,18.0,34.0,750.16
white,57673.0,male,16.0,37.0,841.63
white,96069.0,female,16.0,52.0,788.55
white,101987.0,male,18.0,28.0,571.65
asian,91429.0,male,18.0,31.0,662.89
white,81758.0,male,19.0,37.0,849.29
hispanic,12728.0,male,10.0,40.0,1043.15
white,1036385.0,male,15.0,30.0,656.54
asian,31594.0,female,14.0,52.0,866.47
white,27265.0,female,13.0,50.0,756.02
other,90959.0,female,15.0,50.0,780.7
white,86347.0,female,18.0,53.0,821.12
white,47876.0,male,16.0,30.0,618.95
white,97036.0,male,18.0,35.0,741.48
white,111741.0,male,18.0,34.0,767.93
white,40090.0,male,18.0,30.0,607.92
hispanic,43884.0,female,15.0,55.0,835.52
white,205445.0,female,17.0,51.0,812.37
hispanic,37889.0,male,11.0,36.0,916.18
white,30042.0,female,14.0,47.0,740.94
hispanic,161940.0,male,16.0,38.0,1003.14
hispanic,104027.0,male,15.0,35.0,922.62
other,11325.0,male,11.0,29.0,560.72
white,31566.0,male,16.0,43.0,1035.41
white,86089.0,male,19.0,27.0,517.32
hispanic,32684.0,male,12.0,30.0,756.57
white,96768.0,female,18.0,55.0,855.44
white,83784.0,female,19.0,51.0,812.35
white,50272.0,male,16.0,33.0,687.56
other,27014.0,female,11.0,54.0,809.31
black,13098.0,male,10.0,34.0,681.94
black,204639.0,female,16.0,46.0,502.65
white,313686.0,male,17.0,32.0,701.95
hispanic,24220.0,male,11.0,35.0,900.89
white,65572.0,male,15.0,33.0,686.5
white,52944.0,female,15.0,56.0,842.16
white,28957.0,male,13.0,29.0,562.94
other,72131.0,male,14.0,35.0,771.18
hispanic,26682.0,female,13.0,52.0,777.4
other,47815.0,female,14.0,57.0,840.61
other,145744.0,male,15.0,35.0,781.74
white,9849.0,male,16.0,42.0,1007.8
hispanic,50242.0,female,13.0,53.0,793.52
white,620202.0,male,15.0,33.0,719.61
white,23094.0,male,13.0,39.0,890.66
white,40826.0,female,16.0,56.0,842.66
white,29751.0,male,14.0,30.0,630.48
asian,51225.0,female,16.0,53.0,912.94
asian,28970.0,female,15.0,53.0,879.02
other,109380.0,female,17.0,47.0,738.86
white,17944.0,male,14.0,24.0,446.38
other,60278.0,male,14.0,33.0,677.68
white,66924.0,male,17.0,34.0,747.04
white,91070.0,female,19.0,47.0,749.18
white,30520.0,male,13.0,40.0,912.2
black,18530.0,female,11.0,50.0,546.64
other,69651.0,female,14.0,49.0,749.3
black,29936.0,male,12.0,34.0,708.72
black,73750.0,male,13.0,30.0,610.42
white,135773.0,male,18.0,33.0,689.94
asian,10647.0,male,16.0,35.0,749.86
white,13268.0,female,14.0,47.0,718.03
white,54257.0,male,16.0,46.0,1173.94
white,206617.0,male,19.0,37.0,863.71
hispanic,9612.0,male,12.0,33.0,826.02
white,7187.0,male,14.0,29.0,573.14
white,50866.0,male,16.0,38.0,884.38
black,15685.0,male,12.0,28.0,530.07
other,90652.0,female,15.0,48.0,736.68
white,44297.0,male,16.0,34.0,740.41
other,149861.0,male,14.0,37.0,826.16
white,15042.0,female,15.0,50.0,746.42
other,130376.0,female,16.0,58.0,900.27
black,82214.0,male,17.0,24.0,485.35
white,22173.0,female,14.0,47.0,707.43
other,35493.0,male,11.0,34.0,717.62
white,15788.0,male,13.0,36.0,766.72
white,84435.0,male,19.0,38.0,870.89
hispanic,135949.0,male,15.0,36.0,954.48
white,73919.0,female,14.0,52.0,802.14
white,11736.0,female,15.0,47.0,720.11
white,36690.0,male,14.0,29.0,591.96
hispanic,30635.0,female,10.0,51.0,753.1
white,101796.0,male,19.0,34.0,752.72
other,258022.0,female,16.0,48.0,762.8
black,113467.0,female,17.0,45.0,524.25
white,70867.0,female,14.0,42.0,677.57
white,96472.0,male,18.0,42.0,1002.67
black,44578.0,male,14.0,43.0,1036.56
white,29094.0,male,13.0,39.0,903.59
white,67502.0,male,17.0,30.0,621.04
hispanic,128035.0,female,15.0,49.0,785.88
hispanic,33440.0,male,11.0,34.0,837.13
black,30121.0,male,12.0,35.0,733.37
white,57430.0,male,19.0,29.0,601.54
hispanic,20177.0,female,15.0,42.0,665.73
white,50577.0,male,14.0,37.0,847.04
white,25527.0,male,14.0,30.0,594.21
hispanic,62179.0,male,13.0,27.0,691.07
other,195117.0,female,16.0,57.0,868.84
white,96686.0,male,18.0,32.0,684.92
white,98785.0,female,19.0,54.0,843.73
white,69382.0,female,14.0,47.0,741.13
white,927441.0,male,17.0,36.0,810.63
white,77243.0,male,15.0,30.0,616.13
white,61664.0,male,17.0,34.0,749.07
white,38776.0,female,14.0,48.0,742.08
asian,31487.0,male,14.0,42.0,1018.29
white,287936.0,female,19.0,48.0,799.74
white,26899.0,female,15.0,58.0,846.12
hispanic,149835.0,female,15.0,47.0,737.42
black,51794.0,male,15.0,31.0,626.5
white,59918.0,female,18.0,55.0,830.15
white,100827.0,female,18.0,53.0,816.22
white,26137.0,male,15.0,31.0,623.55
other,22716.0,male,12.0,28.0,549.88
white,134402.0,female,18.0,47.0,771.38
white,121425.0,female,19.0,58.0,896.07
white,46361.0,male,15.0,34.0,731.45
white,24703.0,male,14.0,41.0,964.16
black,27945.0,female,11.0,47.0,521.03
other,43733.0,male,14.0,31.0,642.86
white,227100.0,male,17.0,34.0,784.64
white,42344.0,male,16.0,30.0,613.06
hispanic,44175.0,female,13.0,57.0,831.16
white,34855.0,male,14.0,34.0,695.36
asian,81023.0,male,19.0,31.0,637.72
white,49634.0,female,15.0,47.0,737.71
white,26877.0,female,13.0,48.0,733.1
other,62540.0,male,14.0,35.0,776.71
black,61680.0,male,14.0,36.0,793.03
white,23498.0,female,12.0,55.0,831.24
white,30968.0,female,13.0,41.0,684.07
white,37285.0,male,15.0,36.0,788.24
other,117538.0,male,16.0,32.0,695.51
other,74678.0,female,14.0,45.0,743.68
white,61905.0,male,15.0,39.0,901.32
white,44719.0,male,17.0,34.0,736.75
white,20031.0,female,12.0,52.0,764.65
white,22490.0,male,14.0,32.0,665.28
white,30565.0,male,14.0,36.0,790.58
white,13591.0,male,12.0,36.0,764.4
white,66584.0,male,15.0,46.0,1170.92
black,80609.0,female,15.0,46.0,517.76
white,111123.0,female,19.0,44.0,703.09
white,20476.0,female,13.0,53.0,795.36
white,26661.0,female,14.0,48.0,748.0
white,70128.0,male,17.0,34.0,732.48
white,50799.0,female,20.0,51.0,795.86
hispanic,15866.0,male,13.0,36.0,945.08
hispanic,9727.0,female,11.0,48.0,736.52
white,63492.0,male,17.0,42.0,1012.05
hispanic,15632.0,female,14.0,52.0,762.95
hispanic,49545.0,male,15.0,27.0,683.87
other,208997.0,male,16.0,30.0,623.73
other,7286.0,male,12.0,34.0,699.61
hispanic,133626.0,female,16.0,47.0,755.68
black,112600.0,male,14.0,33.0,694.88
black,16228.0,female,10.0,52.0,534.84
black,30028.0,female,14.0,48.0,531.61
white,71557.0,female,16.0,51.0,813.69
white,48878.0,male,17.0,31.0,645.17
white,33940.0,female,15.0,57.0,836.85
asian,11431.0,female,15.0,46.0,831.78
white,79711.0,male,16.0,26.0,502.64
white,39114.0,male,14.0,32.0,686.47
hispanic,37351.0,female,13.0,48.0,722.02
white,47665.0,female,16.0,49.0,767.78
black,18006.0,female,12.0,51.0,539.7
hispanic,49969.0,female,14.0,46.0,723.17
black,25287.0,female,11.0,49.0,523.83
white,39010.0,male,15.0,37.0,810.77
white,22678.0,female,15.0,60.0,868.99
white,31170.0,female,15.0,43.0,674.04
white,8750.0,male,13.0,33.0,678.66
white,101404.0,female,16.0,49.0,751.75
other,56510.0,male,13.0,38.0,857.0
white,52808.0,female,15.0,53.0,791.96
hispanic,92460.0,male,15.0,31.0,798.95
white,80029.0,male,18.0,31.0,658.57
white,17756.0,female,12.0,55.0,788.45
white,80550.0,male,18.0,31.0,674.76
white,18270.0,male,15.0,36.0,791.57
white,139468.0,female,18.0,49.0,800.43
white,241975.0,female,18.0,57.0,862.85
white,29242.0,male,14.0,29.0,585.18
white,23764.0,female,15.0,44.0,688.67
white,299086.0,male,19.0,31.0,649.97
white,59023.0,male,16.0,29.0,580.69
white,258116.0,female,18.0,49.0,772.29
white,24232.0,female,13.0,50.0,762.96
white,47562.0,female,16.0,55.0,822.69
other,75940.0,female,14.0,42.0,707.8
other,215235.0,female,15.0,50.0,802.96
hispanic,17568.0,female,11.0,50.0,753.7
other,174489.0,male,18.0,32.0,672.25
white,31931.0,male,13.0,26.0,498.69
other,57719.0,male,12.0,35.0,754.76
black,35170.0,female,14.0,48.0,547.29
white,287743.0,male,19.0,30.0,631.78
white,51916.0,female,14.0,50.0,747.61
white,155109.0,female,19.0,49.0,806.93
hispanic,21343.0,male,13.0,37.0,955.55
white,44170.0,female,17.0,55.0,810.27
white,32265.0,female,13.0,51.0,770.47
white,7694.0,male,13.0,40.0,909.09
black,96663.0,female,17.0,46.0,522.55
hispanic,59591.0,female,16.0,48.0,741.64
other,225987.0,male,15.0,38.0,891.5
asian,423763.0,male,18.0,35.0,803.67
white,92990.0,male,16.0,34.0,736.74
other,182227.0,female,17.0,51.0,777.58
white,40284.0,female,16.0,47.0,740.1
other,127546.0,male,16.0,30.0,658.71
white,226800.0,female,19.0,49.0,799.09
white,23989.0,female,15.0,54.0,798.0
white,22464.0,female,14.0,44.0,701.94
white,28976.0,male,15.0,32.0,641.84
other,19859.0,male,11.0,29.0,553.67
white,12881.0,female,14.0,56.0,835.38
other,32325.0,female,12.0,52.0,795.52
white,501908.0,female,15.0,47.0,776.37
white,46272.0,female,16.0,57.0,850.92
other,24365.0,female,13.0,46.0,702.98
white,13644.0,male,14.0,36.0,786.67
black,52423.0,male,15.0,38.0,863.72
black,44508.0,female,15.0,49.0,576.1
white,81956.0,female,17.0,45.0,712.73
white,72052.0,male,17.0,37.0,818.42
white,47954.0,male,19.0,34.0,744.38
asian,10043.0,female,15.0,54.0,884.97
other,123660.0,male,18.0,34.0,766.0
white,138076.0,female,19.0,51.0,801.1
white,123278.0,female,18.0,51.0,807.78
white,31847.0,male,14.0,38.0,832.0
white,12639.0,female,14.0,50.0,733.02
black,21945.0,female,13.0,51.0,577.85
white,119344.0,female,18.0,47.0,741.74
white,59218.0,female,17.0,51.0,762.5
white,30624.0,female,15.0,55.0,835.41
white,39617.0,female,14.0,51.0,774.77
white,60839.0,male,17.0,35.0,794.49
black,103907.0,female,17.0,58.0,657.52
hispanic,236722.0,male,17.0,38.0,1041.86
white,21398.0,female,15.0,47.0,740.08
white,53199.0,female,15.0,51.0,783.72
other,274005.0,female,16.0,53.0,830.84
other,38865.0,male,11.0,33.0,684.26
white,17377.0,female,12.0,46.0,691.71
black,87671.0,male,16.0,31.0,652.27
hispanic,7855.0,female,13.0,46.0,700.24
hispanic,11279.0,female,13.0,49.0,730.64
asian,81314.0,male,18.0,38.0,885.77
black,69668.0,male,15.0,36.0,777.2
white,5333.0,male,14.0,31.0,582.51
white,332970.0,female,17.0,48.0,779.45
asian,47082.0,male,19.0,35.0,785.69
white,160289.0,male,18.0,36.0,826.21
white,57580.0,female,15.0,53.0,810.07
white,11149.0,male,13.0,33.0,669.28
white,303311.0,female,17.0,48.0,761.44
white,45561.0,male,15.0,39.0,896.19
other,285403.0,female,17.0,46.0,738.71
other,25383.0,male,11.0,35.0,747.39
white,49535.0,male,16.0,38.0,829.22
white,216446.0,male,18.0,43.0,1074.43
asian,32413.0,male,15.0,32.0,670.68
black,60139.0,female,14.0,46.0,511.58
white,23719.0,male,15.0,38.0,863.32
asian,13096.0,female,15.0,54.0,907.21
white,208930.0,female,18.0,50.0,781.15
white,33125.0,female,14.0,48.0,724.6
white,20668.0,female,13.0,52.0,769.61
hispanic,15694.0,male,14.0,37.0,937.49
white,13392.0,female,14.0,45.0,674.1
black,76987.0,male,14.0,26.0,502.39
hispanic,128165.0,female,17.0,51.0,803.29
black,1173946.0,female,14.0,46.0,558.95
white,142576.0,male,17.0,41.0,983.26
white,89063.0,male,20.0,36.0,825.71
black,26245.0,female,11.0,50.0,539.62
white,9633.0,male,14.0,34.0,686.28
white,37580.0,female,14.0,51.0,774.37
hispanic,69443.0,male,16.0,32.0,821.46
other,8430.0,male,13.0,43.0,1012.41
white,42853.0,male,16.0,27.0,557.64
white,175170.0,male,17.0,37.0,852.16
white,108136.0,male,18.0,39.0,903.59
other,194036.0,male,17.0,30.0,631.2
other,150580.0,female,15.0,48.0,747.09
white,41810.0,male,16.0,36.0,798.36
other,127474.0,male,17.0,28.0,581.42
white,134727.0,female,18.0,48.0,745.53
hispanic,112188.0,male,17.0,30.0,772.24
hispanic,252086.0,female,16.0,53.0,846.34
black,230432.0,male,16.0,32.0,708.0
white,50587.0,male,16.0,28.0,560.38
white,31488.0,female,14.0,50.0,767.62
other,205879.0,female,16.0,56.0,890.31
white,96790.0,female,20.0,47.0,760.06
black,27050.0,male,12.0,33.0,674.81
white,167122.0,female,17.0,41.0,701.78
other,21730.0,male,11.0,31.0,618.9
white,8073.0,female,14.0,60.0,861.52
other,49516.0,male,14.0,31.0,648.02
white,78697.0,female,16.0,44.0,701.59
white,38735.0,female,15.0,53.0,788.05
white,91446.0,female,17.0,47.0,772.52
white,20959.0,male,14.0,33.0,671.96
black,4229.0,male,11.0,31.0,603.51
hispanic,81826.0,male,17.0,26.0,674.13
white,247436.0,male,18.0,34.0,757.05
white,96957.0,female,18.0,51.0,786.9
black,40615.0,male,14.0,34.0,728.96
white,176393.0,male,19.0,32.0,686.64
hispanic,11362.0,female,13.0,53.0,772.54
white,61580.0,female,17.0,53.0,771.43
white,175226.0,female,18.0,46.0,746.94
white,103097.0,male,17.0,33.0,714.23
white,31623.0,male,14.0,30.0,616.59
asian,85799.0,male,21.0,31.0,645.32
white,63211.0,female,17.0,52.0,801.4
asian,175713.0,male,20.0,37.0,833.46
asian,47179.0,female,15.0,53.0,886.98
white,81933.0,female,16.0,50.0,783.27
white,13819.0,male,14.0,31.0,639.44
white,361628.0,male,19.0,29.0,627.28
white,125414.0,male,19.0,34.0,749.07
white,21327.0,female,16.0,46.0,736.37
white,112701.0,female,20.0,44.0,740.91
black,243199.0,male,17.0,36.0,805.41
white,3880.0,female,14.0,59.0,811.57
other,48160.0,female,14.0,45.0,724.38
white,100199.0,female,17.0,52.0,790.43
white,12724.0,female,14.0,44.0,699.06
black,66047.0,female,15.0,47.0,534.49
black,18255.0,female,12.0,46.0,530.9
hispanic,25407.0,female,14.0,52.0,759.51
white,35306.0,male,15.0,35.0,782.01
black,24522.0,male,11.0,34.0,707.23
white,240007.0,male,17.0,31.0,685.18
black,67504.0,female,15.0,44.0,494.55
white,39398.0,female,13.0,52.0,793.74
white,101181.0,male,18.0,29.0,604.65
other,33487.0,male,12.0,31.0,624.38
black,7426.0,female,13.0,48.0,484.43
white,42284.0,female,15.0,53.0,796.81
hispanic,65681.0,female,14.0,43.0,697.89
white,61698.0,female,17.0,50.0,770.37
